CO2(PPM),AQI(PPM),CO(PPM),LPG(PPM),BUTANE(PPM),SMOKE(PPM),TEMP,DAYS
688,88.59,256,0.01,0,0.02,36,MON
679,78.76,253,0.01,0,0.02,36,MON
671,71.04,250,0.01,0,0.02,36,MON
663,64.15,249,0.01,0,0.02,36,MON
654,57.26,246,0.01,0,0.02,36,MON
648,53.11,241,0.01,0,0.01,36,MON
642,49.3,243,0.01,0,0.01,36,MON
637,46.34,242,0,0,0.01,36,MON
632,43.58,239,0,0,0.01,36,MON
625,40.01,233,0,0,0.01,36,MON
620,37.65,230,0,0,0.01,36,MON
616,35.87,227,0,0,0.01,36,MON
611,33.77,229,0,0,0.01,36,MON
607,32.19,227,0,0,0.01,36,MON
603,30.68,221,0,0,0.01,36,MON
598,28.9,226,0,0,0.01,36,MON
592,26.91,224,0,0,0.01,36,MON
591,26.59,225,0,0,0.01,36,MON
588,25.66,220,0,0,0.01,36,MON
586,25.06,219,0,0,0.01,36,MON
585,24.77,217,0,0,0.01,36,MON
582,23.9,216,0,0,0.01,36,MON
580,23.35,215,0,0,0.01,36,MON
577,22.54,214,0,0,0.01,36,MON
576,22.27,213,0,0,0.01,36,MON
575,22.01,210,0,0,0.01,36,MON
574,21.75,208,0,0,0.01,36,MON
573,21.5,207,0,0,0,36,MON
572,21.25,205,0,0,0,36,MON
568,20.27,208,0,0,0,36,MON
564,19.35,199,0,0,0,36,MON
564,19.35,199,0,0,0,36,MON
555,17.42,199,0,0,0,36,MON
553,17.01,197,0,0,0,36,MON
553,17.01,199,0,0,0,36,MON
548,16.05,206,0,0,0,36,MON
551,16.62,206,0,0,0,37,MON
557,17.83,205,0,0,0,37,MON
563,19.12,206,0,0,0,37,MON
565,19.57,207,0,0,0,37,MON
564,19.35,206,0,0,0,37,MON
556,17.62,197,0,0,0,37,MON
555,17.42,195,0,0,0,37,MON
569,20.51,201,0,0,0,37,MON
578,22.8,200,0,0,0,37,MON
567,20.04,192,0,0,0,37,MON
565,19.57,188,0,0,0,37,MON
568,20.27,188,0,0,0,37,MON
572,21.25,195,0,0,0,37,MON
576,22.27,197,0,0,0,37,MON
578,22.8,199,0,0,0,37,MON
580,23.35,200,0,0,0,37,MON
585,24.77,205,0,0,0,37,MON
588,25.66,210,0,0,0.01,37,MON
583,24.19,210,0,0,0.01,37,MON
592,26.91,216,0,0,0.01,37,MON
594,27.56,217,0,0,0.01,37,MON
588,25.66,209,0,0,0,37,MON
585,24.77,205,0,0,0,37,MON
583,24.19,205,0,0,0,37,MON
591,26.59,208,0,0,0,37,MON
586,25.06,202,0,0,0,37,MON
584,24.48,199,0,0,0,37,MON
576,22.27,197,0,0,0,37,MON
576,22.27,196,0,0,0,38,MON
586,25.06,204,0,0,0,38,MON
588,25.66,207,0,0,0,38,MON
590,26.28,209,0,0,0.01,38,MON
567,20.04,208,0,0,0,38,MON
587,25.36,205,0,0,0,38,MON
587,25.36,209,0,0,0.01,38,MON
557,17.83,206,0,0,0,38,MON
578,22.8,206,0,0,0,38,MON
559,18.25,211,0,0,0.01,38,MON
574,21.75,216,0,0,0.01,38,MON
593,27.23,218,0,0,0.01,38,MON
593,27.23,217,0,0,0.01,38,MON
589,25.97,218,0,0,0.01,38,MON
568,20.27,216,0,0,0.01,38,MON
573,21.5,213,0,0,0.01,38,MON
552,16.82,210,0,0,0.01,38,MON
566,19.8,204,0,0,0,38,MON
568,20.27,198,0,0,0,38,MON
560,18.46,194,0,0,0,38,MON
558,18.04,190,0,0,0,38,MON
547,15.87,188,0,0,0,38,MON
559,18.25,193,0,0,0,38,MON
558,18.04,197,0,0,0,38,MON
559,18.25,196,0,0,0,38,MON
563,19.12,195,0,0,0,38,MON
541,14.8,193,0,0,0,38,MON
563,19.12,192,0,0,0,38,MON
550,16.43,188,0,0,0,38,MON
575,22.01,187,0,0,0,38,MON
582,23.9,185,0,0,0,38,MON
564,19.35,187,0,0,0,38,MON
538,14.29,183,0,0,0,38,MON
568,20.27,177,0,0,0,38,MON
586,25.06,180,0,0,0,38,MON
590,26.28,183,0,0,0,38,MON
603,30.68,184,0,0,0,38,MON
608,32.57,185,0,0,0,38,MON
604,31.05,183,0,0,0,38,MON
600,29.6,182,0,0,0,38,MON
595,27.89,184,0,0,0,38,MON
602,30.31,188,0,0,0,38,MON
604,31.05,188,0,0,0,38,MON
596,28.22,187,0,0,0,38,MON
576,22.27,186,0,0,0,38,MON
576,22.27,185,0,0,0,38,MON
585,24.77,184,0,0,0,38,MON
578,22.8,185,0,0,0,38,MON
593,27.23,188,0,0,0,38,MON
586,25.06,194,0,0,0,38,MON
588,25.66,199,0,0,0,38,MON
593,27.23,199,0,0,0,38,MON
599,29.25,199,0,0,0,38,MON
612,34.18,198,0,0,0,38,MON
605,31.42,193,0,0,0,38,MON
608,32.57,197,0,0,0,38,MON
601,29.95,195,0,0,0,38,MON
592,26.91,193,0,0,0,38,MON
579,23.07,194,0,0,0,38,MON
579,23.07,194,0,0,0,38,MON
590,26.28,194,0,0,0,38,MON
566,19.8,190,0,0,0,38,MON
573,21.5,186,0,0,0,38,MON
597,28.56,185,0,0,0,38,MON
575,22.01,183,0,0,0,38,MON
564,19.35,182,0,0,0,38,MON
568,20.27,181,0,0,0,38,MON
588,25.66,181,0,0,0,38,MON
582,23.9,179,0,0,0,38,MON
555,17.42,177,0,0,0,38,MON
549,16.24,174,0,0,0,38,MON
546,15.68,170,0,0,0,38,MON
557,17.83,168,0,0,0,38,MON
546,15.68,167,0,0,0,38,MON
556,17.62,168,0,0,0,38,MON
544,15.32,167,0,0,0,38,MON
553,17.01,170,0,0,0,38,MON
553,17.01,168,0,0,0,38,MON
549,16.24,170,0,0,0,38,MON
563,19.12,170,0,0,0,38,MON
573,21.5,171,0,0,0,38,MON
581,23.62,169,0,0,0,38,MON
580,23.35,170,0,0,0,38,MON
567,20.04,170,0,0,0,38,MON
588,25.66,170,0,0,0,38,MON
567,20.04,169,0,0,0,38,MON
565,19.57,168,0,0,0,38,MON
561,18.68,167,0,0,0,38,MON
557,17.83,166,0,0,0,38,MON
564,19.35,164,0,0,0,38,MON
564,19.35,164,0,0,0,38,MON
559,18.25,163,0,0,0,38,MON
568,20.27,161,0,0,0,38,MON
576,22.27,162,0,0,0,38,MON
585,24.77,162,0,0,0,38,MON
581,23.62,162,0,0,0,38,MON
567,20.04,161,0,0,0,38,MON
564,19.35,160,0,0,0,38,MON
580,23.35,159,0,0,0,38,MON
570,20.76,157,0,0,0,38,MON
578,22.8,157,0,0,0,38,MON
576,22.27,157,0,0,0,38,MON
571,21,157,0,0,0,38,MON
564,19.35,157,0,0,0,38,MON
578,22.8,157,0,0,0,38,MON
584,24.48,156,0,0,0,38,MON
585,24.77,156,0,0,0,38,MON
586,25.06,156,0,0,0,38,MON
586,25.06,155,0,0,0,38,MON
585,24.77,154,0,0,0,38,MON
584,24.48,154,0,0,0,38,MON
583,24.19,153,0,0,0,38,MON
575,22.01,152,0,0,0,38,MON
568,20.27,151,0,0,0,38,MON
577,22.54,148,0,0,0,38,MON
561,18.68,143,0,0,0,38,MON
548,16.05,140,0,0,0,38,MON
555,17.42,140,0,0,0,38,MON
546,15.68,141,0,0,0,38,MON
543,15.14,143,0,0,0,38,MON
546,15.68,144,0,0,0,38,MON
551,16.62,146,0,0,0,38,MON
553,17.01,146,0,0,0,38,MON
574,21.75,148,0,0,0,38,MON
579,23.07,155,0,0,0,38,MON
580,23.35,157,0,0,0,38,MON
583,24.19,155,0,0,0,39,MON
579,23.07,151,0,0,0,38,MON
575,22.01,147,0,0,0,38,MON
570,20.76,144,0,0,0,39,MON
566,19.8,140,0,0,0,39,MON
563,19.12,138,0,0,0,38,MON
561,18.68,136,0,0,0,38,MON
558,18.04,134,0,0,0,38,MON
555,17.42,132,0,0,0,39,MON
549,16.24,130,0,0,0,39,MON
547,15.87,128,0,0,0,39,MON
544,15.32,127,0,0,0,39,MON
542,14.97,126,0,0,0,39,MON
538,14.29,124,0,0,0,39,MON
533,13.48,124,0,0,0,39,MON
532,13.33,123,0,0,0,39,MON
532,13.33,123,0,0,0,39,MON
532,13.33,122,0,0,0,39,MON
532,13.33,121,0,0,0,39,MON
531,13.17,122,0,0,0,39,MON
533,13.48,121,0,0,0,39,MON
534,13.64,121,0,0,0,39,MON
534,13.64,121,0,0,0,39,MON
534,13.64,121,0,0,0,39,MON
535,13.8,121,0,0,0,39,MON
536,13.96,121,0,0,0,39,MON
536,13.96,120,0,0,0,39,MON
534,13.64,120,0,0,0,39,MON
532,13.33,119,0,0,0,39,MON
533,13.48,120,0,0,0,39,MON
534,13.64,120,0,0,0,39,MON
534,13.64,119,0,0,0,39,MON
534,13.64,118,0,0,0,39,MON
534,13.64,117,0,0,0,39,MON
534,13.64,116,0,0,0,39,MON
529,12.87,116,0,0,0,39,MON
531,13.17,115,0,0,0,39,MON
530,13.02,115,0,0,0,39,MON
530,13.02,114,0,0,0,39,MON
528,12.72,114,0,0,0,39,MON
543,15.14,115,0,0,0,39,MON
543,15.14,113,0,0,0,39,MON
544,15.32,113,0,0,0,39,MON
544,15.32,113,0,0,0,39,MON
542,14.97,113,0,0,0,39,MON
541,14.8,112,0,0,0,39,MON
538,14.29,112,0,0,0,39,MON
531,13.17,111,0,0,0,39,MON
531,13.17,112,0,0,0,39,MON
531,13.17,112,0,0,0,39,MON
531,13.17,112,0,0,0,39,MON
533,13.48,111,0,0,0,39,MON
535,13.8,112,0,0,0,39,MON
538,14.29,112,0,0,0,39,MON
540,14.62,112,0,0,0,39,MON
543,15.14,112,0,0,0,39,MON
544,15.32,112,0,0,0,39,MON
546,15.68,112,0,0,0,39,MON
547,15.87,111,0,0,0,39,MON
550,16.43,112,0,0,0,39,MON
550,16.43,111,0,0,0,39,MON
552,16.82,111,0,0,0,39,MON
551,16.62,111,0,0,0,39,MON
551,16.62,111,0,0,0,39,MON
552,16.82,111,0,0,0,39,MON
552,16.82,111,0,0,0,39,MON
554,17.21,111,0,0,0,39,MON
556,17.62,111,0,0,0,39,MON
556,17.62,110,0,0,0,39,MON
557,17.83,111,0,0,0,39,MON
558,18.04,111,0,0,0,40,MON
559,18.25,111,0,0,0,39,MON
562,18.9,113,0,0,0,39,MON
565,19.57,113,0,0,0,39,MON
565,19.57,113,0,0,0,40,MON
566,19.8,114,0,0,0,39,MON
568,20.27,114,0,0,0,40,MON
570,20.76,116,0,0,0,40,MON
572,21.25,116,0,0,0,40,MON
574,21.75,117,0,0,0,40,MON
576,22.27,118,0,0,0,40,MON
577,22.54,118,0,0,0,40,MON
579,23.07,118,0,0,0,40,MON
580,23.35,119,0,0,0,40,MON
581,23.62,120,0,0,0,40,MON
582,23.9,120,0,0,0,40,MON
583,24.19,120,0,0,0,40,MON
584,24.48,119,0,0,0,40,MON
584,24.48,120,0,0,0,40,MON
586,25.06,120,0,0,0,40,MON
587,25.36,120,0,0,0,40,MON
587,25.36,120,0,0,0,40,MON
588,25.66,120,0,0,0,40,MON
588,25.66,120,0,0,0,40,MON
584,24.48,120,0,0,0,40,MON
589,25.97,120,0,0,0,40,MON
592,26.91,120,0,0,0,40,MON
592,26.91,119,0,0,0,40,MON
590,26.28,119,0,0,0,40,MON
592,26.91,118,0,0,0,40,MON
598,28.9,118,0,0,0,40,MON
595,27.89,116,0,0,0,40,MON
589,25.97,115,0,0,0,40,MON
592,26.91,114,0,0,0,40,MON
587,25.36,107,0,0,0,40,MON
594,27.56,106,0,0,0,40,MON
598,28.9,109,0,0,0,40,MON
601,29.95,112,0,0,0,40,MON
603,30.68,114,0,0,0,41,MON
606,31.8,116,0,0,0,40,MON
610,33.37,118,0,0,0,41,MON
612,34.18,120,0,0,0,41,MON
614,35.01,120,0,0,0,41,MON
611,33.77,122,0,0,0,41,MON
611,33.77,123,0,0,0,41,MON
611,33.77,123,0,0,0,41,MON
610,33.37,124,0,0,0,41,MON
611,33.77,123,0,0,0,41,MON
613,34.59,124,0,0,0,41,MON
613,34.59,127,0,0,0,41,MON
